 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.19927342
nptseg(1) = 25
deltp1(1) = 0.0050000
deltpn(1) = 0.0010000
nptseg(2) = 25
deltp1(2) = 0.0050000
deltpn(2) = 0.0010000
nptseg(3) = 49
deltp1(3) = 0.0227245
deltpn(3) = 0.0227245
npr(1) = 19
deltr1(1) =-0.0037110
deltrn(1) =-0.0077110
npr(2) = 19
deltr1(2) = 0.0006814
deltrn(2) = 0.0013558
npr(3) = 19
deltr1(3) = 0.0022270
deltrn(3) = 0.0075924
tgarde(1) = 0.02000
tgarde(2) = 0.02000
nrelax= 5000
relax= 1.0000E-02
pasmin= 1.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   97  'nprad='   19
  1.61635277E+00 -1.12011666E+00 -6.85724458E-05 -8.86223480E-01 -7.11479463E-01
  1.61571355E+00 -1.11934765E+00 -6.91619847E-05 -8.82437662E-01 -7.08458049E-01
  1.61377279E+00 -1.11701285E+00 -7.52582600E-05 -8.70950761E-01 -6.99293834E-01
  1.61072893E+00 -1.11316967E+00 -6.57491162E-05 -8.52775241E-01 -6.84142498E-01
  1.60666201E+00 -1.10797105E+00 -6.85918506E-05 -8.28466331E-01 -6.63670029E-01
  1.60153874E+00 -1.10166193E+00 -6.35488860E-05 -7.98236742E-01 -6.39026393E-01
  1.59557341E+00 -1.09428432E+00 -6.92933260E-05 -7.63118906E-01 -6.10330447E-01
  1.58902881E+00 -1.08585102E+00 -7.51507364E-05 -7.24363643E-01 -5.77474284E-01
  1.58163345E+00 -1.07679026E+00 -5.96505048E-05 -6.81304232E-01 -5.42562632E-01
  1.57390737E+00 -1.06690387E+00 -7.06577008E-05 -6.35991227E-01 -5.04423966E-01
  1.56557568E+00 -1.05662747E+00 -7.47974070E-05 -5.87735290E-01 -4.65225830E-01
  1.55709065E+00 -1.04582647E+00 -7.84764770E-05 -5.38302155E-01 -4.23847170E-01
  1.54839621E+00 -1.03474394E+00 -7.35564090E-05 -4.87822802E-01 -3.80995079E-01
  1.53962810E+00 -1.02351206E+00 -7.30143748E-05 -4.36668892E-01 -3.38208345E-01
  1.53106395E+00 -1.01210720E+00 -6.94936947E-05 -3.85182993E-01 -2.96416186E-01
  1.52227351E+00 -1.00108508E+00 -6.22899335E-05 -3.32743099E-01 -2.57521631E-01
  1.51413613E+00 -9.89999412E-01 -7.62399547E-05 -2.83476794E-01 -2.16437379E-01
  1.50584977E+00 -9.79660611E-01 -5.60038222E-05 -2.35211649E-01 -1.78567603E-01
  1.49862433E+00 -9.69392854E-01 -6.95810909E-05 -1.90886452E-01 -1.41044530E-01
  1.49118511E+00 -9.60329109E-01 -5.78347958E-05 -1.46556901E-01 -1.10539118E-01
  1.48512108E+00 -9.51469002E-01 -6.28606262E-05 -1.08205848E-01 -7.93793235E-02
  1.47922497E+00 -9.43947626E-01 -8.70863960E-05 -7.35648501E-02 -5.32294129E-02
