 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    3.88872085E+00      3.78129067E-01      1.30026213E-03

 Point O:
    3.88872085E+00      3.78129067E-01      1.30026213E-03
 $parameters
repart = 2
distxo = 0.93589888
pntrat = 0.20000000
nptseg(1) =164
deltp1(1) = 0.0250000
deltpn(1) = 0.0250000
npr(1) = 20
deltr1(1) = 0.0100000
deltrn(1) = 0.0100000
npr(2) = 23
deltr1(2) =-0.0000100
deltrn(2) =-0.0000100
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax= 5000
relax= 1.0000E-01
pasmin= 1.0000E-02
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    2
'region:'    1
'nppol='  164  'nprad='   20
  3.88872085E+00  3.78129067E-01  1.30026213E-03  1.44653343E+00  4.97489772E-02
  3.88761277E+00  4.03104498E-01  1.29942378E-03  1.44424893E+00  7.21257498E-02
  3.88606956E+00  4.29233160E-01  1.29773511E-03  1.44098434E+00  9.52988264E-02
  3.88402613E+00  4.56489017E-01  1.29569475E-03  1.43657474E+00  1.19227659E-01
  3.88142250E+00  4.84843913E-01  1.29971542E-03  1.43085301E+00  1.43875866E-01
  3.87819957E+00  5.14267320E-01  1.29158711E-03  1.42361896E+00  1.69211962E-01
  3.87429414E+00  5.44725877E-01  1.28958888E-03  1.41475412E+00  1.95041166E-01
  3.86964257E+00  5.76183550E-01  1.28680393E-03  1.40411361E+00  2.21206490E-01
  3.86419448E+00  6.08603845E-01  1.29303170E-03  1.39154551E+00  2.47637982E-01
  3.85788810E+00  6.41945839E-01  1.27595926E-03  1.37693626E+00  2.74310956E-01
  3.85067854E+00  6.76169388E-01  1.26905527E-03  1.36025011E+00  3.00908811E-01
  3.84252451E+00  7.11233710E-01  1.28882081E-03  1.34146403E+00  3.27129998E-01
  3.83334414E+00  7.47085369E-01  1.26138822E-03  1.32065449E+00  3.52985565E-01
  3.82810783E+00  7.66175384E-01  1.24365553E-03  1.30886464E+00  3.66326864E-01
  3.81182042E+00  8.20986030E-01  1.29949592E-03  1.27186964E+00  4.03486100E-01
  3.79922419E+00  8.58881405E-01  1.25614695E-03  1.24329413E+00  4.28046203E-01
  3.78542027E+00  8.97355451E-01  1.26788603E-03  1.21206535E+00  4.52012539E-01
  3.77097374E+00  9.34616734E-01  1.26273693E-03  1.17998998E+00  4.74224373E-01
  3.75377970E+00  9.75710280E-01  1.26327377E-03  1.14285815E+00  4.97347166E-01
  3.73583183E+00  1.01544550E+00  1.28196540E-03  1.10493604E+00  5.18106511E-01
  3.72453908E+00  1.03894422E+00  1.25984573E-03  1.08134356E+00  5.29924949E-01
  3.69527255E+00  1.09556370E+00  1.27074135E-03  1.02158313E+00  5.56573017E-01
  3.67254059E+00  1.13575648E+00  1.29634562E-03  9.77322963E-01  5.73736508E-01
  3.64802995E+00  1.17585941E+00  1.23689447E-03  9.31304814E-01  5.89409252E-01
  3.63737862E+00  1.19245438E+00  1.23598108E-03  9.11642476E-01  5.95597550E-01
  3.62178099E+00  1.21581693E+00  1.26004391E-03  8.83255328E-01  6.04015621E-01
  3.59347364E+00  1.25554950E+00  1.25166622E-03  8.33874191E-01  6.17119154E-01
  3.55558598E+00  1.30416057E+00  1.20205843E-03  7.71123277E-01  6.31067372E-01
  3.53131542E+00  1.33298908E+00  1.27239763E-03  7.32270737E-01  6.38554420E-01
  3.49703758E+00  1.37057944E+00  1.23190573E-03  6.79989279E-01  6.47087080E-01
  3.47276634E+00  1.39527794E+00  1.21887189E-03  6.44726829E-01  6.51701905E-01
  3.42208689E+00  1.44249522E+00  1.25094598E-03  5.74952597E-01  6.58837912E-01
  3.38129921E+00  1.47633167E+00  1.26356030E-03  5.21616311E-01  6.62881728E-01
  3.33830260E+00  1.50845540E+00  1.29479595E-03  4.68629850E-01  6.64902404E-01
